idA	idB	O	OHA	OHB	OLA	OLB	K
14073	10928	N	46	45	205	205	1
14073	9345	N	-180	-180	71	71	0
97645	51472	N	0	0	251	251	5
97645	69752	N	-109	-110	141	141	1
43582	7603	N	81	80	170	170	1
43582	88668	N	173	172	78	78	0
28690	103081	N	-224	-224	27	27	0
28690	58851	N	-194	-194	57	57	1
9861	21963	N	-20	-20	231	231	1
9861	72837	N	-163	-163	88	88	1
99929	78692	N	211	215	36	36	0
99929	23800	N	221	225	26	26	0
99929	80321	N	-1	2	247	247	3
99929	47848	N	-44	-40	207	207	1
99929	5890	N	-71	-67	180	180	1
99929	12877	N	-223	-220	27	27	0
97548	16888	N	-51	-52	199	199	0
97548	60354	N	-136	-136	115	115	1
67552	38406	N	205	205	46	46	0
67552	6482	N	178	177	73	73	1
67552	3486	N	85	85	166	166	2
67552	59735	N	202	201	49	49	0
67552	85802	N	12	12	239	239	1
67552	98826	N	-216	-216	35	35	0
67552	69169	N	119	118	132	132	2
67552	104758	N	85	85	166	166	1
67552	1050	N	110	110	141	141	1
67552	80079	N	-203	-203	48	48	0
67552	46853	N	-34	-34	217	217	4
32845	38406	N	-227	-227	24	24	0
32845	59735	N	-230	-231	20	20	0
32845	15920	N	-179	-179	72	72	0
32845	35205	N	-214	-214	37	37	0
32845	96202	N	-227	-227	24	24	0
21572	96180	N	195	195	56	56	0
105946	99339	N	104	104	146	146	0
59742	8742	N	133	132	118	118	1
78692	11234	N	170	169	81	81	0
78692	68249	N	161	160	90	90	1
78692	47507	N	133	133	118	118	0
78692	80321	N	-212	-213	38	38	0
78692	101323	N	161	160	90	90	0
78692	20726	N	146	145	105	105	0
78692	86087	N	191	191	60	60	0
78110	68157	N	-51	-51	200	200	3
78110	28381	N	-136	-136	115	115	1
78110	14010	N	179	179	72	72	0
78110	58838	N	226	226	25	25	0
78110	52278	N	214	212	37	37	0
78110	10143	N	192	192	59	59	1
78110	75753	N	179	178	72	72	1
32368	29562	N	87	87	164	164	0
32368	68814	N	87	87	164	164	3
32368	22663	N	-39	-39	212	212	0
32368	96313	N	-158	-158	93	93	0
32368	56564	N	-39	-39	212	212	0
76846	67765	N	222	221	29	29	0
30457	52707	N	-130	-132	119	119	0
57504	6482	N	-105	-106	145	145	0
57504	48228	N	-180	-184	67	67	0
57504	11959	N	0	0	251	251	1
94245	92610	N	-63	-62	188	188	1
29562	51319	N	71	71	180	180	2
29562	68814	N	0	0	251	251	3
29562	85123	N	195	195	56	56	0
29562	22663	N	-126	-126	125	125	0
29562	60354	N	170	170	81	81	0
29562	56564	N	-126	-126	125	125	0
33608	88450	N	-211	-211	40	40	0
51319	68814	N	-71	-71	180	180	2
51319	85123	N	124	124	127	127	0
51319	16888	N	184	183	67	67	1
51319	60354	N	99	99	152	152	0
857	101333	N	-96	-95	155	155	2
857	21690	N	-136	-135	115	115	1
857	47501	N	145	145	105	105	2
857	56065	N	-97	-96	154	154	1
857	13620	N	137	137	113	113	2
857	78341	N	-209	-208	42	42	0
857	47264	N	-109	-108	142	142	1
857	58337	N	59	58	191	191	2
49595	9557	N	69	71	180	180	1
49595	15920	N	-195	-193	56	56	1
49595	84267	N	35	37	214	214	1
49595	35205	N	-230	-228	21	21	0
49595	14010	N	228	230	21	21	0
49595	36852	N	19	21	230	230	3
49595	67648	N	-31	-29	220	220	2
49595	75753	N	228	229	21	21	0
49595	45568	N	-192	-190	59	59	1
51028	98432	N	-167	-167	84	84	1
51028	13089	N	225	225	26	26	0
51028	81357	N	-176	-177	74	74	1
64793	70898	N	68	68	183	183	2
64793	51205	N	-28	-28	223	223	0
64793	59036	N	-26	-26	225	225	0
64793	97642	N	220	216	31	31	0
21963	72837	N	-143	-143	108	108	0
73649	38406	N	125	126	125	125	0
73649	6482	N	98	98	152	152	2
73649	3486	N	5	6	245	245	4
73649	59735	N	122	122	128	128	0
73649	85802	N	-68	-67	183	183	3
73649	69169	N	39	39	211	211	2
73649	104758	N	5	6	245	245	4
73649	96202	N	125	126	125	125	2
73649	1050	N	30	31	220	220	2
