idA	idB	O	OHA	OHB	OLA	OLB	K
52308	50806	N	-72	-72	179	179	0
52308	3308	N	-76	-76	175	175	0
52308	24590	N	-97	-97	154	154	0
105419	70531	N	-111	-111	140	140	1
105419	73062	N	-112	-112	139	139	0
105419	89644	N	-37	-37	214	214	0
105419	10831	N	126	126	125	125	1
105419	82089	N	-69	-70	181	181	2
105419	21141	N	-76	-76	175	175	2
105419	89533	N	55	55	196	196	2
10361	52664	N	-140	-141	110	110	0
10361	96972	N	-93	-94	157	157	1
10361	72248	N	-163	-163	88	88	0
81846	23782	N	-125	-125	125	125	1
20630	61622	N	146	147	104	104	1
20630	103653	N	155	156	95	95	0
20630	92027	N	110	111	140	140	0
20630	70304	N	121	122	129	129	1
20630	32665	N	133	134	117	117	0
20630	94056	N	12	13	238	238	1
20630	98478	N	25	22	225	225	1
20630	1050	N	110	111	140	140	1
20630	64087	N	-26	-25	225	225	0
20630	104374	N	167	168	83	83	0
20630	57420	N	-34	-34	216	216	1
20630	55291	N	-162	-161	89	89	1
1662	48664	N	-55	-55	196	196	0
1662	63932	N	-143	-143	108	108	0
1662	82089	N	-13	-14	237	237	2
1662	37068	N	-80	-80	171	171	1
1662	80224	N	73	72	178	178	0
1662	66976	N	-54	-54	197	197	0
1662	43590	N	-70	-71	180	180	0
1662	2579	N	19	18	232	232	2
1662	82582	N	-79	-79	172	172	0
1662	68972	N	-71	-71	180	180	2
1662	67895	N	-87	-88	163	163	0
53563	47961	N	61	60	190	190	1
17157	57962	N	-129	-128	122	122	0
23836	71737	N	9	10	240	240	1
23836	23874	N	39	41	210	210	2
23836	24169	N	60	62	189	189	1
23836	25696	N	45	47	204	204	1
23836	3254	N	99	101	150	150	1
23836	103534	N	29	30	220	220	1
61786	45590	N	36	36	215	215	0
61786	62750	N	-46	-46	205	205	2
61786	102380	N	-60	-60	191	191	2
43461	10722	N	144	143	106	106	1
43461	2330	N	16	16	234	234	0
43461	35163	N	115	116	135	135	0
96408	98888	N	-83	-82	168	168	2
28403	74316	N	-47	-48	203	203	2
28403	19876	N	66	65	185	185	0
28403	93263	N	-59	-59	192	192	2
28403	25121	N	-47	-47	204	204	2
28403	1914	N	0	0	251	251	2
28403	104275	N	-50	-54	197	197	2
28403	68961	N	36	36	215	215	1
89194	2537	N	-73	-73	176	176	0
89194	74316	N	44	45	205	205	1
89194	19876	N	157	158	92	92	0
89194	93263	N	32	34	217	217	2
89194	27333	N	33	35	216	216	2
89194	25121	N	44	46	205	205	2
89194	73605	N	-75	-73	176	176	0
89194	104275	N	41	39	208	208	0
89194	29779	N	-75	-73	176	176	0
89194	31383	N	2	4	247	247	2
89194	6892	N	46	44	203	203	1
89194	72494	N	-121	-121	128	128	0
89194	6721	N	-2	0	249	249	1
89194	68961	N	127	129	122	122	0
89194	67365	N	39	41	210	210	1
42507	31769	N	110	111	140	140	0
42507	34860	N	113	113	137	137	0
42507	80227	N	-37	-36	214	214	2
99350	91628	N	-162	-162	89	89	0
99350	28022	N	39	39	212	212	1
99350	40449	N	74	74	177	177	1
99350	69826	N	58	58	193	193	1
99350	68480	N	152	148	99	99	0
99350	10551	N	-43	-43	208	208	2
99350	60734	N	50	50	201	201	1
54966	76564	N	34	34	217	217	2
54966	79454	N	48	48	203	203	0
72688	13562	N	150	149	101	101	1
72688	31594	N	155	154	96	96	0
19480	37870	N	63	62	187	187	1
19480	67507	N	131	132	119	119	1
19480	82293	N	-90	-89	161	161	0
19480	86443	N	-141	-140	110	110	1
71319	74238	N	128	124	122	122	0
71319	62649	N	-31	-30	220	220	0
71319	56106	N	66	66	184	184	0
71319	61270	N	57	57	193	193	1
71319	84882	N	15	16	235	235	1
47145	53339	N	-70	-72	178	178	0
47145	93980	N	-164	-163	87	87	1
47145	96432	N	-26	-30	220	220	2
47145	37119	N	-103	-106	144	144	0
47145	73873	N	-61	-60	190	190	2
47145	88634	N	164	162	86	86	1
47145	21943	N	-108	-108	142	142	0
70508	26254	N	-81	-80	170	170	0
70508	20081	N	-26	-25	225	225	1
83219	38641	N	166	167	84	84	0
83219	61585	N	23	22	227	227	1
83219	79926	N	166	167	84	84	0
83219	67705	N	92	93	158	158	0
77832	7640	N	79	79	172	172	2
77832	19093	N	1	1	250	250	1
