idA	idB	O	-LA	RB-	OLA	OLB	K	CIGAR
33	36	N	56	56	194	194	1	ids: 33->36
34	37	N	44	44	206	206	1	ids: 34->37
34	42	N	187	187	63	63	0	ids: 34->42
34	41	N	136	136	114	114	0	ids: 34->41
34	34	N	0	0	250	250	0	ids: 34->34
35	39	N	110	109	140	140	0	ids: 35->39
35	36	N	29	29	221	221	1	ids: 35->36
35	35	N	0	0	250	250	0	ids: 35->35
35	43	N	184	184	66	66	0	ids: 35->43
35	44	N	188	187	62	62	1	ids: 35->44
37	37	N	0	0	250	250	0	ids: 37->37
37	42	N	143	143	107	107	1	ids: 37->42
37	41	N	92	92	158	158	2	ids: 37->41
36	43	N	155	155	95	95	0	ids: 36->43
36	36	N	0	0	250	250	0	ids: 36->36
36	44	N	159	158	91	91	1	ids: 36->44
36	39	N	81	80	169	169	0	ids: 36->39
38	38	N	0	0	250	250	0	ids: 38->38
38	40	N	-82	-82	168	168	1	ids: 40->38
40	40	N	0	0	250	250	0	ids: 40->40
39	48	N	176	177	73	73	1	ids: 39->48
39	39	N	0	0	249	249	0	ids: 39->39
39	43	N	74	75	175	175	0	ids: 39->43
39	44	N	78	78	171	171	1	ids: 39->44
42	42	N	0	0	250	250	0	ids: 42->42
41	42	N	51	51	199	199	2	ids: 41->42
41	41	N	0	0	250	250	0	ids: 41->41
43	48	N	102	102	148	148	2	ids: 43->48
43	43	N	0	0	250	250	0	ids: 43->43
43	44	N	4	3	246	246	1	ids: 43->44
45	45	N	0	0	250	250	0	ids: 45->45
38	45	N	-196	-196	54	54	0	ids: 45->38
40	45	N	-114	-114	136	136	0	ids: 45->40
44	44	N	0	0	249	249	0	ids: 44->44
44	48	N	98	99	151	151	2	ids: 44->48
46	46	N	0	0	250	250	0	ids: 46->46
45	47	N	-48	-48	202	202	0	ids: 47->45
47	47	N	0	0	250	250	0	ids: 47->47
40	47	N	-162	-162	88	88	0	ids: 47->40
47	49	N	-40	-40	210	210	2	ids: 49->47
45	49	N	-88	-88	162	162	1	ids: 49->45
49	49	N	0	0	250	250	0	ids: 49->49
48	48	N	0	0	250	250	0	ids: 48->48
